state,species,harvest,propHarvest,rank
AK,MALL,20875.4879,0.2916899575363,1
AK,AMWI,10576.5267,0.14778416862796,2
AK,NOPI,7250.5558,0.101310892638661,3
AK,CAGO,6865.1778,0.0959260655632941,4
AK,AGWT,6624.1359,0.0925580244467332,5
AL,WODU,46263.9726,0.244215820303663,1
AL,GADW,43455.4898,0.229390549314921,2
AL,MALL,24289.4819,0.128218036921444,3
AL,CAGO,17361.5002,0.0916469722499623,4
AL,RNDU,12187.854,0.0643366013568684,5
AR,MALL,576142.1257,0.441389433130941,1
AR,GADW,201569.1741,0.154424576027267,2
AR,AGWT,154141.842,0.118089924737713,3
AR,NSHO,77868.5736,0.0596560536486717,4
AR,WODU,66383.4507,0.0508571624373912,5
AZ,MALL,8755.552,0.211938996052766,1
AZ,AGWT,7058.4267,0.170857973147785,2
AZ,NSHO,4451.545,0.107755168170289,3
AZ,AMWI,3713.1051,0.0898803144715952,4
AZ,GADW,2852.1475,0.0690397678803582,5
CA,AGWT,354584.5668,0.225345147086025,1
CA,MALL,216945.3438,0.137872837640488,2
CA,NSHO,213354.9532,0.135591077029317,3
CA,AMWI,196875.5401,0.125118100716715,4
CA,NOPI,167286.4343,0.106313668649016,5
CO,CAGO,83826.2334,0.429432461818,1
CO,MALL,53830.4001,0.2757671470849,2
CO,AGWT,10619.1492,0.0544007191830791,3
CO,GADW,9778.5538,0.0500944425275079,4
CO,BCTE,8324.8447,0.0426472526412422,5
CT,CAGO,11491.2259,0.386574972970897,1
CT,MALL,7124.1275,0.239661931609379,2
CT,LTDU,2459.624,0.0827439204131014,3
CT,WODU,1885.2877,0.0634227407947715,4
CT,ABDU,1777.2758,0.0597891252269986,5
DE,CAGO,19835.5576,0.281106992564992,1
DE,MALL,13450.0449,0.19061232096158,2
DE,AGWT,8578.5659,0.121574341861183,3
DE,SGWH,6580.8281,0.093262656542521,4
DE,ABDU,5298.9564,0.0750961342945568,5
FL,RNDU,64089.7547,0.312341026843083,1
FL,BCTE,62650.8507,0.30532853701546,2
FL,AGWT,13301.2271,0.0648234487732724,3
FL,WODU,10547.6372,0.0514038452672733,4
FL,MODU,10361.9945,0.0504991167062834,5
GA,WODU,84132.8874,0.439326632334678,1
GA,CAGO,40361.5437,0.210760638527069,2
GA,MALL,14471.3443,0.0755667272709654,3
GA,RNDU,13469.7548,0.0703366091136659,4
GA,AGWT,8820.066,0.0460567800832377,5
IA,MALL,60737.0506,0.247392880807838,1
IA,CAGO,57716.531,0.23508976371541,2
IA,BCTE,34053.7642,0.138707078209504,3
IA,WODU,32823.1788,0.133694683564413,4
IA,AGWT,22228.9474,0.0905424823939657,5
ID,MALL,156618.3343,0.530818129299282,1
ID,CAGO,55917.6933,0.18951884199829,2
ID,AMWI,21307.6113,0.0722167453807625,3
ID,AGWT,13223.1633,0.0448165589149987,4
ID,GADW,11573.126,0.039224175898191,5
IL,MALL,204199.3399,0.387952718430676,1
IL,CAGO,119131.268,0.226334224651886,2
