id,name,abbrev,duck_bag,duck_hunters,duck_daysAfield,goose_bag,goose_hunters,goose_daysAfield
1,Alaska,AK,11,5000,5,4,2000,5
2,Alabama,AL,13,13200,7,4,5100,5
3,Arkansas,AR,22,54900,8,7,18100,5
4,Arizona,AZ,12,3300,6,2,1400,5
5,California,CA,28,50300,9,5,33700,7
6,Colorado,CO,9,11700,6,7,13900,6
7,Connecticut,CT,7,1900,6,7,1600,6
8,Delaware,DE,11,3800,7,7,3600,6
9,Florida,FL,15,13900,6,2,900,4
10,Georgia,GA,9,17500,6,4,10200,5
11,Iowa,IA,11,16700,7,5,12900,7
12,Idaho,ID,14,16600,6,5,12400,6
13,Illinois,IL,13,31000,9,5,24700,8
14,Indiana,IN,9,11000,7,6,10600,7
15,Kansas,KS,14,15100,6,9,13400,6
16,Kentucky,KY,15,9000,8,3,8100,7
17,Louisiana,LA,25,75300,8,6,12300,6
18,Massachusetts,MA,6,3200,6,4,2600,6
19,Maryland,MD,7,16400,5,7,24600,5
20,Maine,ME,6,4600,5,3,2900,5
21,Michigan,MI,9,36400,6,4,33600,6
22,Minnesota,MN,9,66200,6,4,49400,6
23,Missouri,MO,15,31400,7,5,13300,5
24,Mississippi,MS,21,14500,7,5,5100,5
25,Montana,MT,10,12800,5,5,10700,4
26,North Carolina,NC,11,27400,6,3,15600,4
27,North Dakota,ND,14,31500,5,7,24100,5
28,Nebraska,NE,13,13300,7,8,13000,8
29,New Hampshire,NH,5,2700,6,3,2100,6
30,New Jersey,NJ,9,6100,7,8,4500,5
31,New Mexico,NM,12,3000,6,4,1900,4
32,Nevada,NV,13,3100,6,3,2000,5
33,New York,NY,9,19500,6,8,17000,6
34,Ohio,OH,8,16400,7,5,18300,7
35,Oklahoma,OK,20,15800,7,6,8200,5
36,Oregon,OR,21,19000,8,6,10200,6
37,Pennsylvania,PA,5,22700,5,5,27700,5
38,Rhode Island,RI,8,700,7,6,600,7
39,South Carolina,SC,10,19500,6,3,7200,4
40,South Dakota,SD,13,14600,5,8,13400,5
41,Tennessee,TN,19,14200,8,3,8400,7
42,Texas,TX,15,71100,6,5,42200,3
43,Utah,UT,14,15600,7,2,9500,6
44,Virginia,VA,8,16200,6,4,14300,5
45,Vermont,VT,8,2700,6,5,2100,5
46,Washington,WA,20,20900,8,5,12200,5
47,Wisconsin,WI,7,55500,7,2,41200,7
48,West Virginia,WV,7,900,6,6,900,6
49,Wyoming,WY,10,3800,5,6,3800,5
