state,days,activeHunters,bagPerHunter
AK,20991.93,4393.878,10.562
AL,75338.41,13325.902,10.61
AR,403930.414,52704.414,21.086
AZ,17137.702,3297.702,11.82
CA,402303.748,47184.87,25.334
CO,66102.418,11456.86,9.028
CT,10575.308,1666.684,7.148
DE,25642.14,3636.764,10.058
FL,82591.294,14567.732,13.868
GA,94556.428,17504.332,7.914
IA,104024.79,13760.75,11.558
ID,104814.896,16375.362,15.772
IL,237486.272,27152.954,13.056
IN,72593.034,9724.11,9.73
KS,96711.202,16170.506,13.458
KY,61517.788,8108.7,12.946
LA,568321.632,71050.378,23.346
MA,17926.02,3189.202,5.256
MD,73622.298,15461.472,6.212
ME,22242.002,4226.78,5.46
MI,221530.262,35274.88,9.29
MN,373394.116,62592.68,9.704
MO,213433.702,30997.784,14.562
MS,97208.952,14566.656,18.822
MT,73696.014,14184.534,10.924
NC,202264.252,32531.034,11.22
ND,167503.254,33774.12,14.316
NE,89048.42,12606.618,12.766
NH,14899.118,2321.396,5.19
NJ,39980.886,6358.508,8.854
NM,15981.176,3413.894,10.458
NV,16383.488,3060.796,11.634
NY,111325.566,19268.774,8.8
OH,121377.946,15861.718,8.372
OK,118196.626,17118.508,18.418
OR,121403.756,16980.584,18.344
PA,87632.536,19631.304,4.03
RI,4388.612,605.66,8.752
SC,112333.234,18258.18,9.598
SD,72792.552,13673.302,13.166
TN,92938.498,11386.168,19.77
TX,407137.932,69702.55,16.64
UT,97192.334,15799.37,13.154
VA,83522.08,15397.462,8.28
VT,16237.568,2927.948,7.124
WA,153562.278,21398.816,19.052
WI,345731.72,53451.336,7.616
WV,4680.852,793.914,7.43
WY,18951.836,3579.558,10.5
