state,SNO,FWNo,county,CNO,stateFIPS,FIPS
CT,118,1,Fairfield,001,9,09001
CT,118,1,Hartford,003,9,09003
CT,118,1,Litchfield,005,9,09005
CT,118,1,Middlesex,007,9,09007
CT,118,1,New Haven,009,9,09009
CT,118,1,New London,011,9,09011
CT,118,1,Tolland,013,9,09013
CT,118,1,Windham,015,9,09015
DE,121,1,Kent,001,10,10001
DE,121,1,New Castle,003,10,10003
DE,121,1,Sussex,005,10,10005
DC,122,1,Washington-D.C.,001,11,11001
FL,125,1,Alachua,001,12,12001
FL,125,1,Baker,003,12,12003
FL,125,1,Bay,005,12,12005
FL,125,1,Bradford,007,12,12007
FL,125,1,Brevard,009,12,12009
FL,125,1,Broward,011,12,12011
FL,125,1,Calhoun,013,12,12013
FL,125,1,Charlotte,015,12,12015
FL,125,1,Citrus,017,12,12017
FL,125,1,Clay,019,12,12019
FL,125,1,Collier,021,12,12021
FL,125,1,Columbia,023,12,12023
FL,125,1,Dade,025,12,12025
FL,125,1,De Soto,027,12,12027
FL,125,1,Dixie,029,12,12029
FL,125,1,Duval,031,12,12031
FL,125,1,Escambia,033,12,12033
FL,125,1,Flagler,035,12,12035
FL,125,1,Franklin,037,12,12037
FL,125,1,Gadsden,039,12,12039
FL,125,1,Gilchrist,041,12,12041
FL,125,1,Glades,043,12,12043
FL,125,1,Gulf,045,12,12045
FL,125,1,Hamilton,047,12,12047
FL,125,1,Hardee,049,12,12049
FL,125,1,Hendry,051,12,12051
FL,125,1,Hernando,053,12,12053
FL,125,1,Highlands,055,12,12055
FL,125,1,Hillsborough,057,12,12057
FL,125,1,Holmes,059,12,12059
FL,125,1,Indian River,061,12,12061
FL,125,1,Jackson,063,12,12063
FL,125,1,Jefferson,065,12,12065
FL,125,1,Lafayette,067,12,12067
FL,125,1,Lake,069,12,12069
FL,125,1,Lee,071,12,12071
FL,125,1,Leon,073,12,12073
FL,125,1,Levy,075,12,12075
FL,125,1,Liberty,077,12,12077
FL,125,1,Madison,079,12,12079
FL,125,1,Manatee,081,12,12081
FL,125,1,Marion,083,12,12083
FL,125,1,Martin,085,12,12085
FL,125,1,Monroe,087,12,12087
FL,125,1,Nassau,089,12,12089
FL,125,1,Okaloosa,091,12,12091
FL,125,1,Okeechobee,093,12,12093
FL,125,1,Orange,095,12,12095
FL,125,1,Osceola,097,12,12097
FL,125,1,Palm Beach,099,12,12099
FL,125,1,Pasco,101,12,12101
FL,125,1,Pinellas,103,12,12103
FL,125,1,Polk,105,12,12105
FL,125,1,Putnam,107,12,12107
FL,125,1,Saint Johns,109,12,12109
FL,125,1,Saint Lucie,111,12,12111
FL,125,1,Santa Rosa,113,12,12113
FL,125,1,Sarasota,115,12,12115
FL,125,1,Seminole,117,12,12117
FL,125,1,Sumter,119,12,12119
FL,125,1,Suwannee,121,12,12121
FL,125,1,Taylor,123,12,12123
FL,125,1,Union,125,12,12125
FL,125,1,Volusia,127,12,12127
FL,125,1,Wakulla,129,12,12129
FL,125,1,Walton,131,12,12131
FL,125,1,Washington,133,12,12133
GA,127,1,Appling,001,13,13001
GA,127,1,Atkinson,003,13,13003
GA,127,1,Bacon,005,13,13005
GA,127,1,Baker,007,13,13007
GA,127,1,Baldwin,009,13,13009
GA,127,1,Banks,011,13,13011
GA,127,1,Barrow,013,13,13013
GA,127,1,Bartow,015,13,13015
GA,127,1,Ben Hill,017,13,13017
GA,127,1,Berrien,019,13,13019
GA,127,1,Bibb,021,13,13021
GA,127,1,Bleckley,023,13,13023
GA,127,1,Brantley,025,13,13025
GA,127,1,Brooks,027,13,13027
GA,127,1,Bryan,029,13,13029
GA,127,1,Bulloch,031,13,13031
GA,127,1,Burke,033,13,13033
GA,127,1,Butts,035,13,13035
GA,127,1,Calhoun,037,13,13037
GA,127,1,Camden,039,13,13039
GA,127,1,Candler,043,13,13043
GA,127,1,Carroll,045,13,13045
GA,127,1,Catoosa,047,13,13047
GA,127,1,Charlton,049,13,13049
GA,127,1,Chatham,051,13,13051
GA,127,1,Chattahoochee,053,13,13053
GA,127,1,Chattooga,055,13,13055
GA,127,1,Cherokee,057,13,13057
GA,127,1,Clarke,059,13,13059
GA,127,1,Clay,061,13,13061
GA,127,1,Clayton,063,13,13063
GA,127,1,Clinch,065,13,13065
GA,127,1,Cobb,067,13,13067
GA,127,1,Coffee,069,13,13069
GA,127,1,Colquitt,071,13,13071
GA,127,1,Columbia,073,13,13073
GA,127,1,Cook,075,13,13075
GA,127,1,Coweta,077,13,13077
GA,127,1,Crawford,079,13,13079
GA,127,1,Crisp,081,13,13081
GA,127,1,Dade,083,13,13083
GA,127,1,Dawson,085,13,13085
GA,127,1,Decatur,087,13,13087
GA,127,1,De Kalb,089,13,13089
GA,127,1,Dodge,091,13,13091
GA,127,1,Dooly,093,13,13093
GA,127,1,Dougherty,095,13,13095
GA,127,1,Douglas,097,13,13097
GA,127,1,Early,099,13,13099
GA,127,1,Echols,101,13,13101
GA,127,1,Effingham,103,13,13103
GA,127,1,Elbert,105,13,13105
GA,127,1,Emanuel,107,13,13107
GA,127,1,Evans,109,13,13109
GA,127,1,Fannin,111,13,13111
GA,127,1,Fayette,113,13,13113
GA,127,1,Floyd,115,13,13115
GA,127,1,Forsyth,117,13,13117
GA,127,1,Franklin,119,13,13119
GA,127,1,Fulton,121,13,13121
GA,127,1,Gilmer,123,13,13123
GA,127,1,Glascock,125,13,13125
GA,127,1,Glynn,127,13,13127
GA,127,1,Gordon,129,13,13129
GA,127,1,Grady,131,13,13131
GA,127,1,Greene,133,13,13133
GA,127,1,Gwinnett,135,13,13135
GA,127,1,Habersham,137,13,13137
GA,127,1,Hall,139,13,13139
GA,127,1,Hancock,141,13,13141
GA,127,1,Haralson,143,13,13143
GA,127,1,Harris,145,13,13145
GA,127,1,Hart,147,13,13147
GA,127,1,Heard,149,13,13149
GA,127,1,Henry,151,13,13151
GA,127,1,Houston,153,13,13153
GA,127,1,Irwin,155,13,13155
GA,127,1,Jackson,157,13,13157
GA,127,1,Jasper,159,13,13159
GA,127,1,Jeff Davis,161,13,13161
GA,127,1,Jefferson,163,13,13163
GA,127,1,Jenkins,165,13,13165
GA,127,1,Johnson,167,13,13167
GA,127,1,Jones,169,13,13169
GA,127,1,Lamar,171,13,13171
GA,127,1,Lanier,173,13,13173
GA,127,1,Laurens,175,13,13175
GA,127,1,Lee,177,13,13177
GA,127,1,Liberty,179,13,13179
GA,127,1,Lincoln,181,13,13181
GA,127,1,Long,183,13,13183
GA,127,1,Lowndes,185,13,13185
GA,127,1,Lumpkin,187,13,13187
GA,127,1,Mcduffie,189,13,13189
GA,127,1,Mcintosh,191,13,13191
GA,127,1,Macon,193,13,13193
GA,127,1,Madison,195,13,13195
GA,127,1,Marion,197,13,13197
GA,127,1,Meriwether,199,13,13199
GA,127,1,Miller,201,13,13201
GA,127,1,Mitchell,205,13,13205
GA,127,1,Monroe,207,13,13207
GA,127,1,Montgomery,209,13,13209
GA,127,1,Morgan,211,13,13211
GA,127,1,Murray,213,13,13213
GA,127,1,Muscogee,215,13,13215
GA,127,1,Newton,217,13,13217
GA,127,1,Oconee,219,13,13219
GA,127,1,Oglethorpe,221,13,13221
GA,127,1,Paulding,223,13,13223
GA,127,1,Peach,225,13,13225
GA,127,1,Pickens,227,13,13227
GA,127,1,Pierce,229,13,13229
GA,127,1,Pike,231,13,13231
GA,127,1,Polk,233,13,13233
GA,127,1,Pulaski,235,13,13235
GA,127,1,Putnam,237,13,13237
GA,127,1,Quitman,239,13,13239
GA,127,1,Rabun,241,13,13241
GA,127,1,Randolph,243,13,13243
GA,127,1,Richmond,245,13,13245
GA,127,1,Rockdale,247,13,13247
GA,127,1,Schley,249,13,13249
GA,127,1,Screven,251,13,13251
GA,127,1,Seminole,253,13,13253
GA,127,1,Spalding,255,13,13255
GA,127,1,Stephens,257,13,13257
GA,127,1,Stewart,259,13,13259
GA,127,1,Sumter,261,13,13261
GA,127,1,Talbot,263,13,13263
GA,127,1,Taliaferro,265,13,13265
GA,127,1,Tattnall,267,13,13267
GA,127,1,Taylor,269,13,13269
GA,127,1,Telfair,271,13,13271
GA,127,1,Terrell,273,13,13273
GA,127,1,Thomas,275,13,13275
GA,127,1,Tift,277,13,13277
